FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.3794127,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.3910865,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.4018026,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7,0.4154662,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
8,0.4308906,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
9,0.4444414,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
10,0.4571624,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
11,0.4712884,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
12,0.4848945,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
13,0.4995016,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
14,0.512753,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
15,0.5231187,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
16,0.5409046,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
17,0.5552273,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
18,0.5681894,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
19,0.5820028,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
20,0.5969371,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
21,0.6102992,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
22,0.624081,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
23,0.6384444,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
24,0.6511191,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
25,0.6668274,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
26,0.6807811,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
27,0.6944618,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
28,0.7080539,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
29,0.7229527,True,,0.003638247,0.0001289821,0.04932607,0.04781906,0.3116388,0.2592407,0,0,0.1778111,0.2151583,0,0,0.02540856,0,0.02540625,2.037558E-08,0,0.01817357,0.004924727,0,0,0,0.001528705,0.001164944,0.0212546,0.02391707,0.04226718,0.06144926,0.000255772,0.01133951,0.01831585,0.01064649,0.05110656,0.05101938,0.03701431,0.0557598,0.03886876,0.04601429,0,0,0.04627544,0.0548248,0.0246376,0.02504995,0.05121136,0.06675639,0.0402332,0.0597806,0.0214447,0.01120439,0.08094002,0.1533551,0.1210405,0.0106451,0.007923444,0.1271988,0.1444944,9.518346E-05,0.009009169,0,0,0.1733565,0.171248,1,0
30,0.7473174,True,,0.003638247,0.0001289821,0.04932607,0.04781906,0.3116388,0.2592407,0,0,0.1778111,0.2151583,0,0,0.02540856,0,0.02540625,2.037558E-08,0,0.01817357,0.004924727,0,0,0,0.001528705,0.001164944,0.0212546,0.02391707,0.04226718,0.06144926,0.000255772,0.01133951,0.01831585,0.01064649,0.05110656,0.05101938,0.03701431,0.0557598,0.03886876,0.04601429,0,0,0.04627544,0.0548248,0.0246376,0.02504995,0.05121136,0.06675639,0.0402332,0.0597806,0.0214447,0.01120439,0.08094002,0.1533551,0.1210405,0.0106451,0.007923444,0.1271988,0.1444944,9.518346E-05,0.009009169,0,0,0.1733565,0.171248,1,0
31,0.7531646,True,,0.003638247,0.0001289821,0.04932607,0.04781906,0.3116388,0.2592407,0,0,0.1778111,0.2151583,0,0,0.02540856,0,0.02540625,2.037558E-08,0,0.01817357,0.004924727,0,0,0,0.001528705,0.001164944,0.0212546,0.02391707,0.04226718,0.06144926,0.000255772,0.01133951,0.01831585,0.01064649,0.05110656,0.05101938,0.03701431,0.0557598,0.03886876,0.04601429,0,0,0.04627544,0.0548248,0.0246376,0.02504995,0.05121136,0.06675639,0.0402332,0.0597806,0.0214447,0.01120439,0.08094002,0.1533551,0.1210405,0.0106451,0.007923444,0.1271988,0.1444944,9.518346E-05,0.009009169,0,0,0.1733565,0.171248,1,0
32,0.7669067,True,,0.003638247,0.0001289821,0.04932607,0.04781906,0.3116388,0.2592407,0,0,0.1778111,0.2151583,0,0,0.02540856,0,0.02540625,2.037558E-08,0,0.01817357,0.004924727,0,0,0,0.001528705,0.001164944,0.0212546,0.02391707,0.04226718,0.06144926,0.000255772,0.01133951,0.01831585,0.01064649,0.05110656,0.05101938,0.03701431,0.0557598,0.03886876,0.04601429,0,0,0.04627544,0.0548248,0.0246376,0.02504995,0.05121136,0.06675639,0.0402332,0.0597806,0.0214447,0.01120439,0.08094002,0.1533551,0.1210405,0.0106451,0.007923444,0.1271988,0.1444944,9.518346E-05,0.009009169,0,0,0.1733565,0.171248,1,0
33,0.7796662,True,,0.002943286,0.0001065616,0.05070469,0.05019644,0.3232075,0.2693795,0,0,0.1937699,0.2193241,0,0,0.003530741,0,0.003530754,1.393633E-08,0,0.01823846,0.004924922,0,0,0,0.0012519,0.0009556105,0.02126532,0.02740577,0.0423659,0.08636499,0.0001534158,0.01315348,0.01946683,0.01064608,0.0518779,0.05180482,0.03921746,0.0592037,0.0468001,0.05599491,0,0,0.05612191,0.05881503,0.02790001,0.02828875,0.04697191,0.06558895,0.0410871,0.0611497,0.02689372,0.01636829,0.08144088,0.1568413,0.1239578,0.0106451,0.008918938,0.140901,0.1467732,7.863042E-05,0.00899042,0,0,0.1660508,0.1582327,1,0
34,0.7934995,True,,0.005327664,8.805009E-05,0.04651292,0.04665497,0.3076776,0.2683646,0,0,0.1798184,0.2092079,0,0,0.0005698391,0,0.0005698488,9.580987E-09,0,0.02013512,0.0006303876,0,0,0,0.002038711,0.001805056,0.02127279,0.02454096,0.04243277,0.06599794,9.445653E-05,0.006864173,0.02014665,0.01064578,0.0471272,0.04705613,0.0356198,0.05635878,0.0385408,0.05510908,0,0,0.05519929,0.05622173,0.02486376,0.02521375,0.04958948,0.06492203,0.04161407,0.06204275,0.02473968,0.0141124,0.08177627,0.1583194,0.1255288,0.0106451,0.009531007,0.1347504,0.1433676,6.496584E-05,0.008974948,0,0,0.1628318,0.1645688,1,0
