Global Position X,Global Position Y,Global Position Z,fixationID,Time,LayerNumber
-0.3036072,1.237525,1.565236,-1,6.004918,0
-0.2767995,1.238331,1.56809,-1,6.004918,0
-0.3025235,1.242728,1.565715,0,6.027687,0
-0.2757817,1.243452,1.568773,-1,6.027687,0
-0.3019786,1.244229,1.565849,0,6.034446,0
-0.275258,1.244941,1.569013,0,6.034446,0
-0.3014321,1.245727,1.565982,0,6.047918,0
-0.2747327,1.246427,1.569253,0,6.047918,0
-0.2999882,1.248664,1.566236,0,6.063408,0
-0.267716,1.24959,1.570827,0,6.063408,0
-0.29283,1.251009,1.566438,0,6.076113,0
-0.2605944,1.252388,1.572384,0,6.076113,0
-0.2888574,1.258864,1.567922,0,6.091773,0
-0.2566495,1.260327,1.573871,0,6.091773,0
-0.2853065,1.261073,1.568778,0,6.105232,0
-0.2531167,1.262562,1.574726,0,6.105232,0
-0.2828296,1.263458,1.569458,0,6.120061,0
-0.2506594,1.264936,1.575401,0,6.120061,0
-0.2860276,1.265591,1.569089,0,6.135869,0
-0.2481924,1.267317,1.576079,0,6.135869,0
-0.2846871,1.259838,1.568769,0,6.150601,0
-0.246815,1.261577,1.575766,0,6.150601,0
-0.278586,1.256653,1.569558,0,6.166893,0
-0.2463765,1.258078,1.575503,0,6.166893,0
-0.2771785,1.256425,1.569789,0,6.181562,0
-0.2449682,1.257835,1.575734,0,6.181562,0
-0.2753969,1.256366,1.570105,0,6.194163,0
-0.2431873,1.257758,1.576047,0,6.194163,0
-0.2793193,1.256059,1.569367,0,6.208141,0
-0.2471245,1.257432,1.575305,0,6.208141,0
-0.2828752,1.247435,1.567884,0,6.22346,0
-0.250599,1.248954,1.573851,0,6.22346,0
-0.2763941,1.246037,1.568916,0,6.2377,0
-0.2440854,1.247563,1.574875,0,6.2377,0
-0.2789301,1.243594,1.56822,0,6.251864,0
-0.2465969,1.245186,1.574191,0,6.251864,0
-0.2787938,1.241891,1.568078,0,6.266213,0
-0.2464447,1.243502,1.574045,0,6.266213,0
-0.2672234,1.24712,1.570675,0,6.281258,0
-0.2349596,1.248765,1.576598,0,6.281258,0
-0.2720429,1.247957,1.569888,0,6.294844,0
-0.2397836,1.249589,1.575836,0,6.294844,0
-0.2728024,1.246747,1.569633,0,6.308457,0
-0.2405315,1.248395,1.575583,0,6.308457,0
-0.2726934,1.247543,1.56973,0,6.325086,0
-0.2404287,1.249228,1.575686,0,6.325086,0
-0.2732716,1.246763,1.56955,0,6.338041,0
-0.2409992,1.24847,1.575509,0,6.338041,0
-0.2738472,1.245987,1.56937,0,6.350364,0
-0.241567,1.247714,1.575332,0,6.350364,0
-0.2914629,1.231658,1.564794,0,6.364278,0
-0.2533569,1.233657,1.571824,0,6.364278,0
-0.287457,1.23465,1.565809,0,6.378389,0
-0.2493677,1.236668,1.572832,0,6.378389,0
-0.2860542,1.235316,1.566127,0,6.392301,0
-0.247969,1.237324,1.573145,0,6.392301,0
-0.2860599,1.235106,1.566105,0,6.406558,0
-0.2479742,1.237113,1.573122,0,6.406558,0
-0.2857043,1.235052,1.566164,0,6.420248,0
-0.2476178,1.23707,1.57318,0,6.420248,0
-0.2797172,1.235306,1.567268,0,6.435324,0
-0.2417053,1.237324,1.574243,0,6.435324,0
-0.2793952,1.253882,1.569141,0,6.448188,0
-0.2414471,1.256002,1.576189,0,6.448188,0
-0.279144,1.234715,1.567314,0,6.46269,0
-0.2410621,1.236726,1.574294,0,6.46269,0
-0.2785808,1.23413,1.567358,0,6.47885,0
-0.2404929,1.236213,1.574342,0,6.47885,0
-0.278235,1.233901,1.567398,0,6.491259,0
-0.2401451,1.236007,1.574382,0,6.491259,0
-0.2778923,1.233674,1.567438,0,6.503573,0
-0.2398005,1.235804,1.574421,0,6.503573,0
-0.2775406,1.233492,1.567483,0,6.517991,0
-0.2338215,1.235971,1.575487,0,6.517991,0
-0.2802111,1.232849,1.566939,0,6.531099,0
-0.2364955,1.235352,1.574954,0,6.531099,0
-0.2798863,1.226017,1.56633,0,6.5454,0
-0.252999,1.227497,1.571256,0,6.5454,0
-0.28028,1.225718,1.56623,0,6.560772,0
-0.2533884,1.227211,1.571158,0,6.560772,0
-0.2804728,1.22536,1.56616,0,6.574259,0
