FrameCount, FrameTime, validExpressions,BrowLowererL, BrowLowererR, CheekPuffL, CheekPuffR, CheekRaiserL, CheekRaiserR, CheekSuckL, CheekSuckR, ChinRaiserB, ChinRaiserT, DimplerL, DimplerR, EyesClosedL, EyesClosedR, EyesLookDownL, EyesLookDownR, EyesLookLeftL, EyesLookLeftR, EyesLookRightL, EyesLookRightR, EyesLookUpL, EyesLookUpR, InnerBrowRaiserL, InnerBrowRaiserR, JawDrop, JawSidewaysLeft, JawSidewaysRight, JawThrust, LidTightenerL, LidTightenerR, LipCornerDepressorL, LipCornerDepressorR, LipCornerPullerL, LipCornerPullerR, LipFunnelerLB, LipFunnelerLT, LipFunnelerRB, LipFunnelerRT, LipPressorL, LipPressorR, LipPuckerL, LipPuckerR, LipStretcherL, LipStretcherR, LipSuckLB, LipSuckLT, LipSuckRB, LipSuckRT, LipTightenerL, LipTightenerR, LipsToward, LowerLipDepressorL, LowerLipDepressorR, MouthLeft, MouthRight, NoseWrinklerL, NoseWrinklerR, OuterBrowRaiserL, OuterBrowRaiserR, UpperLidRaiserL, UpperLidRaiserR, UpperLipRaiserL, UpperLipRaiserR, Max,UpperFaceConfidence, LowerFaceConfidence
1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
2,0.02,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
3,0.3533334,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
4,0.3914918,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
5,0.4014927,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
6,0.4091421,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
7,0.4252979,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
8,0.4400662,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
9,0.4522164,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
10,0.4644061,True,,0.00832394,0.02182923,0.2015666,0.1689864,0.2844142,0.2648864,0,0,0.188224,0.2197494,1.202657E-21,2.897776E-18,0.04245067,8.282065E-05,0.104378,0.06258229,0.001289175,0.03681343,0,0,0,0,0.00330153,0.002865265,0.01555788,0.1979197,0.07237564,0.01557493,1.218069E-09,0.002535083,0.07172069,0.1092866,0.022755,0.02573483,6.606192E-14,0.04191361,8.740044E-14,0.01009283,1.107294E-23,1.221275E-27,0.03085191,0.03079016,0.06200038,0.06116199,0.02982818,0.01059159,0.02633426,0.0159069,0.009698131,0.01913433,0.08017734,0.004982696,2.184044E-13,0.02688224,0.0185153,0.1357771,0.156697,4.797861E-38,0.009206175,0,0,0.1354375,0.2170172,1,0
11,0.4909714,True,,0.00832394,0.02182923,0.2015666,0.1689864,0.2844142,0.2648864,0,0,0.188224,0.2197494,1.202657E-21,2.897776E-18,0.04245067,8.282065E-05,0.104378,0.06258229,0.001289175,0.03681343,0,0,0,0,0.00330153,0.002865265,0.01555788,0.1979197,0.07237564,0.01557493,1.218069E-09,0.002535083,0.07172069,0.1092866,0.022755,0.02573483,6.606192E-14,0.04191361,8.740044E-14,0.01009283,1.107294E-23,1.221275E-27,0.03085191,0.03079016,0.06200038,0.06116199,0.02982818,0.01059159,0.02633426,0.0159069,0.009698131,0.01913433,0.08017734,0.004982696,2.184044E-13,0.02688224,0.0185153,0.1357771,0.156697,4.797861E-38,0.009206175,0,0,0.1354375,0.2170172,1,0
12,0.5092459,True,,0.0130703,0.02735312,0.1964787,0.1627661,0.2951353,0.2657662,0,0,0.1745074,0.2002782,8.476119E-22,2.042302E-18,0.05894222,1.879409E-06,0.08275566,0.02407972,0,0.03062696,0.004923936,0,0,0,0.003663057,0.003312286,0.01861895,0.1959499,0.0735504,0.01843584,0.008779697,0.01301328,0.05044724,0.09258997,0.02208783,0.02298653,0.00574345,0.04222922,0.00574345,0.01030529,7.804017E-24,8.607332E-28,0.03762697,0.03753508,0.0628296,0.06278472,0.02553439,0.005198501,0.02385411,0.0134066,0.01007611,0.02031869,0.08303911,0.002488195,1.539276E-13,0.02470632,0.0196696,0.1553171,0.1765307,3.967015E-38,0.009152977,0,0,0.1549688,0.248865,1,0
13,0.522186,True,,0.0130703,0.02735312,0.1964787,0.1627661,0.2951353,0.2657662,0,0,0.1745074,0.2002782,8.476119E-22,2.042302E-18,0.05894222,1.879409E-06,0.08275566,0.02407972,0,0.03062696,0.004923936,0,0,0,0.003663057,0.003312286,0.01861895,0.1959499,0.0735504,0.01843584,0.008779697,0.01301328,0.05044724,0.09258997,0.02208783,0.02298653,0.00574345,0.04222922,0.00574345,0.01030529,7.804017E-24,8.607332E-28,0.03762697,0.03753508,0.0628296,0.06278472,0.02553439,0.005198501,0.02385411,0.0134066,0.01007611,0.02031869,0.08303911,0.002488195,1.539276E-13,0.02470632,0.0196696,0.1553171,0.1765307,3.967015E-38,0.009152977,0,0,0.1549688,0.248865,1,0
14,0.5373091,True,,0.02079318,0.03106054,0.1941245,0.1585233,0.3150332,0.2827031,0,0,0.1588673,0.1770748,5.973829E-22,1.43938E-18,0.08160999,5.7742E-08,0.0912596,0.01004534,0.007499824,0.03680436,0,0,0,0,0.003955772,0.003672431,0.02713295,0.1696188,0.07027341,0.0354936,0.02346334,0.01675358,0.02192553,0.0291233,0.01519131,0.02199345,0.0157263,0.04238697,0.0157263,0.01043131,5.500142E-24,6.066306E-28,0.03585902,0.04026379,0.05839057,0.05250746,0.02351341,0.002693087,0.02265955,0.01683482,0.01029426,0.02082324,0.08419099,0.005816104,0.005743439,0.02342635,0.02031478,0.167609,0.1800365,3.280049E-38,0.009109127,0,0,0.1586309,0.2383297,1,0
15,0.5505167,True,,0.02079318,0.03106054,0.1941245,0.1585233,0.3150332,0.2827031,0,0,0.1588673,0.1770748,5.973829E-22,1.43938E-18,0.08160999,5.7742E-08,0.0912596,0.01004534,0.007499824,0.03680436,0,0,0,0,0.003955772,0.003672431,0.02713295,0.1696188,0.07027341,0.0354936,0.02346334,0.01675358,0.02192553,0.0291233,0.01519131,0.02199345,0.0157263,0.04238697,0.0157263,0.01043131,5.500142E-24,6.066306E-28,0.03585902,0.04026379,0.05839057,0.05250746,0.02351341,0.002693087,0.02265955,0.01683482,0.01029426,0.02082324,0.08419099,0.005816104,0.005743439,0.02342635,0.02031478,0.167609,0.1800365,3.280049E-38,0.009109127,0,0,0.1586309,0.2383297,1,0
16,0.5664027,True,,0.02079318,0.03106054,0.1941245,0.1585233,0.3150332,0.2827031,0,0,0.1588673,0.1770748,5.973829E-22,1.43938E-18,0.08160999,5.7742E-08,0.0912596,0.01004534,0.007499824,0.03680436,0,0,0,0,0.003955772,0.003672431,0.02713295,0.1696188,0.07027341,0.0354936,0.02346334,0.01675358,0.02192553,0.0291233,0.01519131,0.02199345,0.0157263,0.04238697,0.0157263,0.01043131,5.500142E-24,6.066306E-28,0.03585902,0.04026379,0.05839057,0.05250746,0.02351341,0.002693087,0.02265955,0.01683482,0.01029426,0.02082324,0.08419099,0.005816104,0.005743439,0.02342635,0.02031478,0.167609,0.1800365,3.280049E-38,0.009109127,0,0,0.1586309,0.2383297,1,0
17,0.5803009,True,,0.02194417,0.0336221,0.2073016,0.1663192,0.3273418,0.29486,0,0,0.1449085,0.1542061,4.210244E-22,1.014449E-18,0.06908314,1.173466E-07,0.08062312,0.01180219,0.007525632,0.03695166,0,0,0,0,0.003183256,0.002961036,0.03788695,0.1700415,0.06815136,0.04026649,0.01927197,0.01233371,0.005598965,0.006242506,0.01741534,0.02160412,0.01346297,0.04246966,0.01346297,0.01659512,3.876398E-24,4.27542E-28,0.03952237,0.05722488,0.03997915,0.02064294,0.02250896,0.006098153,0.02205356,0.01868281,0.01042398,0.01690984,0.08789503,0.002985265,0.003707231,0.02265256,0.01555065,0.1616271,0.1731486,2.71204E-38,0.009072964,0,0,0.159413,0.2281091,1,0
18,0.5946321,True,,0.02278858,0.03543772,0.1936375,0.1594431,0.3475523,0.3150685,0,0,0.1325165,0.1501261,2.967283E-22,7.1496E-19,0.06546044,1.825392E-07,0.0780407,0.0128341,0.03236094,0.07399666,0,0,0,0,0.002573514,0.002397753,0.05806137,0.1630488,0.06675828,0.04174747,0.01722628,0.02731327,0.001607228,0.001521378,0.01878563,0.02143983,0.01226768,0.04251487,0.01226768,0.02666542,2.731996E-24,3.013217E-28,0.04109811,0.06178257,0.03464814,0.01334152,0.02198504,0.003211384,0.02173172,0.01480521,0.01050314,0.01910178,0.08933593,0.001607909,0.002428284,0.0274038,0.01326063,0.1771848,0.1968116,2.242385E-38,0.009043126,0,0,0.1596017,0.2050531,1,0
19,0.6117924,True,,0.02278858,0.03543772,0.1936375,0.1594431,0.3475523,0.3150685,0,0,0.1325165,0.1501261,2.967283E-22,7.1496E-19,0.06546044,1.825392E-07,0.0780407,0.0128341,0.03236094,0.07399666,0,0,0,0,0.002573514,0.002397753,0.05806137,0.1630488,0.06675828,0.04174747,0.01722628,0.02731327,0.001607228,0.001521378,0.01878563,0.02143983,0.01226768,0.04251487,0.01226768,0.02666542,2.731996E-24,3.013217E-28,0.04109811,0.06178257,0.03464814,0.01334152,0.02198504,0.003211384,0.02173172,0.01480521,0.01050314,0.01910178,0.08933593,0.001607909,0.002428284,0.0274038,0.01326063,0.1771848,0.1968116,2.242385E-38,0.009043126,0,0,0.1596017,0.2050531,1,0
20,0.6248208,True,,0.02278858,0.03543772,0.1936375,0.1594431,0.3475523,0.3150685,0,0,0.1325165,0.1501261,2.967283E-22,7.1496E-19,0.06546044,1.825392E-07,0.0780407,0.0128341,0.03236094,0.07399666,0,0,0,0,0.002573514,0.002397753,0.05806137,0.1630488,0.06675828,0.04174747,0.01722628,0.02731327,0.001607228,0.001521378,0.01878563,0.02143983,0.01226768,0.04251487,0.01226768,0.02666542,2.731996E-24,3.013217E-28,0.04109811,0.06178257,0.03464814,0.01334152,0.02198504,0.003211384,0.02173172,0.01480521,0.01050314,0.01910178,0.08933593,0.001607909,0.002428284,0.0274038,0.01326063,0.1771848,0.1968116,2.242385E-38,0.009043126,0,0,0.1596017,0.2050531,1,0
21,0.6341289,True,,0.02278858,0.03543772,0.1936375,0.1594431,0.3475523,0.3150685,0,0,0.1325165,0.1501261,2.967283E-22,7.1496E-19,0.06546044,1.825392E-07,0.0780407,0.0128341,0.03236094,0.07399666,0,0,0,0,0.002573514,0.002397753,0.05806137,0.1630488,0.06675828,0.04174747,0.01722628,0.02731327,0.001607228,0.001521378,0.01878563,0.02143983,0.01226768,0.04251487,0.01226768,0.02666542,2.731996E-24,3.013217E-28,0.04109811,0.06178257,0.03464814,0.01334152,0.02198504,0.003211384,0.02173172,0.01480521,0.01050314,0.01910178,0.08933593,0.001607909,0.002428284,0.0274038,0.01326063,0.1771848,0.1968116,2.242385E-38,0.009043126,0,0,0.1596017,0.2050531,1,0
22,0.6472839,True,,0.02278858,0.03543772,0.1936375,0.1594431,0.3475523,0.3150685,0,0,0.1325165,0.1501261,2.967283E-22,7.1496E-19,0.06546044,1.825392E-07,0.0780407,0.0128341,0.03236094,0.07399666,0,0,0,0,0.002573514,0.002397753,0.05806137,0.1630488,0.06675828,0.04174747,0.01722628,0.02731327,0.001607228,0.001521378,0.01878563,0.02143983,0.01226768,0.04251487,0.01226768,0.02666542,2.731996E-24,3.013217E-28,0.04109811,0.06178257,0.03464814,0.01334152,0.02198504,0.003211384,0.02173172,0.01480521,0.01050314,0.01910178,0.08933593,0.001607909,0.002428284,0.0274038,0.01326063,0.1771848,0.1968116,2.242385E-38,0.009043126,0,0,0.1596017,0.2050531,1,0
