FrameCount,frameTime,Global Position X,Global Position Y,Global Position Z,fixationID,LayerNumber,Hit object name
1078,14.30998,-0.2905771,1.315016,1.577219,-1,0,Sphere
1078,14.30998,-0.2751468,1.315856,1.58027,-1,0,Sphere
1079,14.32602,-0.291912,1.319879,1.578432,0,0,Sphere
1079,14.32602,-0.2765267,1.320719,1.581476,-1,0,Sphere
1080,14.332,-0.2874316,1.331965,1.582864,0,0,Sphere
1080,14.332,-0.2784444,1.332457,1.584642,0,0,Sphere
1081,14.34352,-0.2880002,1.335178,1.583723,0,0,Sphere
1081,14.34352,-0.2790553,1.335677,1.585495,0,0,Sphere
1082,14.35045,-0.2909157,1.349074,1.587354,0,0,Sphere
1082,14.35045,-0.282127,1.349574,1.589099,0,0,Sphere
1083,14.36542,-0.2931359,1.362276,1.590904,0,0,Sphere
1083,14.36542,-0.284577,1.362773,1.592606,0,0,Sphere
1084,14.37812,-0.295462,1.378265,1.595269,0,0,Sphere
1084,14.37812,-0.287112,1.378753,1.596931,0,0,Sphere
1085,14.39219,-0.2970549,1.394647,1.602155,0,0,Sphere
1085,14.39219,-0.289004,1.395117,1.603791,0,0,Sphere
1086,14.40596,-0.2951894,1.386617,1.598287,0,0,Sphere
1086,14.40596,-0.280672,1.387425,1.601051,0,0,Sphere
1087,14.42111,-0.2947079,1.397218,1.603899,0,0,Sphere
1087,14.42111,-0.2804012,1.398008,1.606708,0,0,Sphere
1088,14.42884,-0.2940856,1.391382,1.600971,0,0,Sphere
1088,14.42884,-0.2911654,1.391543,1.601547,0,0,Sphere
1089,14.44362,-0.2917406,1.382192,1.59712,0,0,Sphere
1089,14.44362,-0.288633,1.382365,1.597736,0,0,Sphere
1090,14.45109,-0.2840109,1.319637,1.579794,0,0,Sphere
1090,14.45109,-0.2866561,1.319488,1.579269,0,0,Sphere
1091,14.46571,-0.2802777,1.305843,1.576304,1,0,Sphere
1091,14.46571,-0.2827149,1.305707,1.575846,0,0,Sphere
1092,14.47724,-0.2757904,1.287023,1.573029,1,0,Sphere
1092,14.47724,-0.2780148,1.286897,1.572616,1,0,Sphere
1093,14.49455,-0.2995673,1.214462,1.562932,1,0,Sphere
1093,14.49455,-0.2803142,1.215533,1.565229,1,0,Sphere
1094,14.50899,-0.293465,1.187309,1.562765,2,0,Sphere
1094,14.50899,-0.2743236,1.188385,1.565945,1,0,Sphere
1095,14.52363,-0.2968294,0.9439353,1.635334,2,0,Sphere
1095,14.52363,-0.2804127,0.9450094,1.637589,2,0,Sphere
1096,14.53921,-0.2954449,0.9459414,1.634507,3,0,Sphere
1096,14.53921,-0.2789871,0.9469906,1.636781,2,0,Sphere
1097,14.55311,-0.2929179,0.9530643,1.631231,3,0,Sphere
1097,14.55311,-0.2763112,0.9541241,1.633449,3,0,Sphere
1098,14.5659,-1.418306,-1,8.381256,3,0,Plane
1098,14.5659,-1.464622,-1,8.36097,3,0,Plane
1099,14.57972,-1.408493,-1,8.467827,4,0,Plane
1099,14.57972,-1.455734,-1,8.446578,3,0,Plane
1100,14.59359,-1.539978,-1,8.388693,4,0,Plane
1100,14.59359,-1.586312,-1,8.367432,4,0,Plane
